step,reward,throughput,avg_speed,stops,waiting_time,queue_length
1,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,0.0,0.0
9,0.0,0.0,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,0.0,0.0
11,0.0,0.0,0.0,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0,0.0,0.0
13,0.0,0.0,0.0,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0,0.0,0.0
15,0.0,0.0,0.0,0.0,0.0,0.0
16,0.0,0.0,0.0,0.0,0.0,0.0
17,0.0,0.0,0.0,0.0,0.0,0.0
18,0.0,0.0,0.0,0.0,0.0,0.0
19,0.0,0.0,0.0,0.0,0.0,0.0
20,0.0,0.0,0.0,0.0,0.0,0.0
21,0.0,0.0,0.0,0.0,0.0,0.0
22,0.0,0.0,0.0,0.0,0.0,0.0
23,0.0,0.0,10.0,0.0,0.0,0.0
24,0.0,0.0,11.272229710018534,0.0,0.0,0.0
25,0.0,0.0,11.89477817647113,0.0,0.0,0.0
26,0.0,0.0,13.255435712080919,0.0,0.0,0.0
27,0.0,0.0,13.943495420591375,0.0,0.0,0.0
28,0.0,0.0,13.000515317346272,0.0,0.0,0.0
29,0.0,0.0,14.098618526104675,0.0,0.0,0.0
30,0.0,0.0,14.029661030231413,0.0,0.0,0.0
31,0.0,0.0,14.121290240829016,0.0,0.0,0.0
32,0.0,0.0,14.202276679613764,0.0,0.0,0.0
33,0.0,0.0,13.899011711802718,0.0,0.0,0.0
34,0.0,0.0,13.923613663160626,0.0,0.0,0.0
35,0.0,0.0,13.38240734216401,0.0,0.0,0.0
36,-0.01,0.0,11.624347518968618,1.0,0.125,2.0
37,0.01,0.0,12.095125362712302,0.0,0.0,0.0
38,0.0,0.0,12.619196779807154,0.0,0.0,0.0
39,-0.02,0.0,11.568801392511615,1.0,0.18181818181818182,1.0
40,-0.05,0.0,12.025267066144863,1.0,0.6363636363636364,1.0
41,-0.04999999999999999,0.0,12.093500099750928,1.0,0.9230769230769231,1.0
42,-0.05000000000000002,0.0,12.361360482274952,1.0,1.2142857142857142,1.0
43,-0.04999999999999999,0.0,12.48227568574842,1.0,1.5714285714285714,1.0
44,-0.05000000000000002,0.0,11.207693576752586,1.0,1.9285714285714286,1.0
45,-0.04999999999999999,0.0,11.36598579515549,1.0,2.2857142857142856,1.0
46,-0.04999999999999999,0.0,11.747773575697963,1.0,2.176470588235294,1.0
